Region,Provider Name,Pricing Model,Source URL,14yd Price,14yd Weight (Tons),20yd Price,20yd Weight (Tons),40yd Price,40yd Weight (Tons),Overage Fee ($/Ton),Fuel Surcharge (%),Notes
Niagara,True North Dumpsters,Tonnage Cap,https://truenorthdumpsters.ca/niagara-dumpster-rentals/,360,1.0,450,2.0,575,3.5,,,
Niagara,Mini Binz,Daily Rates,https://www.minibinz.ca/dumpster-rental-niagara-falls-on,,,,,Call for Quote,,,130,,"$20/day extension"
Niagara,Ken's Salvage,All-Inclusive,https://kenssalvage.com/trash-bins-dumpsters/,,,,,Call for Quote,,,,,"All-in pricing model"
Niagara,Cotton Inc.,Commercial,https://cottoninc.ca/bin-rentals/,,,,,Call for Quote,,,,,"Lugger bins available"
Truro,Miller Waste (Us),All-Inclusive,https://millerwaste.ca/service-locations/nova-scotia/truro/,250,Scale Rate,250,Scale Rate,250,Scale Rate,,,
Truro,Silver Bullet Bins,Haul + Tipping,https://silverbulletbins.wixsite.com/silver-bullet-bins/dumpster-pricing,250,0,250,0,,,,,
Truro,VCS Rolloffs,Quote,https://vcsrolloffs.ca/,,,,,Call for Quote,,,,,
Amherst,Miller Waste (Us),Commercial / Quote,,,,,Call for Quote,Call for Quote,,,Target Pricing
Amherst,Nova 4 Enviro,Daily/Weekly,https://www.nova4enviro.ca/,,,Call for Quote,,,,,Daily rates available
Amherst,Fero Waste,Commercial,https://www.municipalenvironmental.com/fero/service/dumpster-services,,,,,Call for Quote,,,,"Commercial focus"
Halifax,Dumpsters R Us,Haul + Tipping,https://halifaxdumpsters.com/,400,0,400,0,400,0,,,Base rate only
Halifax,1-888-JunkBin,Haul + Tipping,https://1888junkbin.com/,250,0,300,0,,,,,"$600 Deposit"
Halifax,EZ Junk Removal,Bundled,https://ezjunkremoval.ca/how-much-does-it-cost-to-rent-a-dumpster-in-halifax/,,,350,Bundled,,,,,
Halifax,Bin There Dump That,Premium,https://www.bintheredumpthat.com/halifax-bin-rentals/bin-sizes/,350,,,,,,,,,"Res. Friendly"
